Year,Climate,Geophysical,Diseases,Food,Economic,Tech,Terror,GeoConflict
2006,2,,2.25,2.5,2.25,2,2.5,
2007,2.585169413,1.494260322,2.121088687,3.322440289,2.509720422,4.033049435,3.424273283,3.151453435
2008,3.45890411,1.609589041,2.726027397,3.410958904,3.294520548,3.45890411,2.924657534,3.369863014
2009,2.836032389,1.699817161,2.732532323,2.725702471,4.105868471,2.269386064,2.256562622,
2010,3.492814215,2.027305984,3.066958453,3.103475307,4.655147635,3.254899399,2.316697152,
2011,3.593,3.445,3.187,3.432,3.233166667,2.942,3.491,3.3295
2012,3.400133824,2.857594513,3.150953496,3.642355303,3.552302888,3.172906212,3.595232519,3.528655069
2013,3.7,3.17,3.2,3.70125,3.59,3.21,3.74,3.48
2014,3.934673367,3.365159129,2.849246231,3.197654941,3.180904523,3.035734227,3.090452261,3.021775544
2015,4.050406504,3.871544715,3.331707317,3.513821138,3.514905149,3.363143631,3.608130081,4.029268293
2016,4.076388889,3.871527778,3.100694444,3.511574074,3.564814815,3.359953704,3.552083333,3.815972222
2017,4.257340242,4.067357513,3.214162349,3.497409326,3.57915947,3.45826137,4.056994819,3.728842832
2018,4.413748177,4.177744288,3.035741371,3.378398963,3.357089613,3.438842975,3.725240642,3.427676228
2019,4.35059761,3.964143426,3.067729084,3.281540505,3.342629482,3.456839309,3.163346614,3.282868526
2020,4.256809339,3.844357977,2.848249027,3.265888457,3.263294423,3.377431907,2.836575875,3.186770428
2021,4.014760148,3.365313653,3.793357934,3.334563346,3.188191882,3.334563346,3.250922509,2.859778598
