Column1,Column2
R5OECD,CAN
R5OECD,JPN
R5OECD,NZL
R5ASIA,CHN
R5ASIA,HKG
R5ASIA,MAC
R5ASIA,TWN
R5ASIA,ASM
R5ASIA,BRN
R5ASIA,CCK
R5ASIA,FJI
R5ASIA,FSM
R5ASIA,GUM
R5ASIA,IDN
R5ASIA,KHM
R5ASIA,KIR
R5ASIA,PRK
R5ASIA,LAO
R5ASIA,MHL
R5ASIA,MMR
R5ASIA,MNG
R5ASIA,MNP
R5ASIA,MYS
R5ASIA,NCL
R5ASIA,PHL
R5ASIA,PLW
R5ASIA,PNG
R5ASIA,PYF
R5ASIA,SGP
R5ASIA,SLB
R5ASIA,THA
R5ASIA,TLS
R5ASIA,TON
R5ASIA,VNM
R5ASIA,VUT
R5ASIA,WSM
R5OECD,AUS
R5OECD,KOR
R5OECD,ZAF
R5LAM,ABW
R5LAM,AIA
R5LAM,ARG
R5LAM,ATG
R5LAM,BES
R5LAM,BHS
R5LAM,BLM
R5LAM,BLZ
R5LAM,BOL
R5LAM,BRA
R5LAM,BRB
R5LAM,CHL
R5LAM,COL
R5LAM,CRI
R5LAM,CUB
R5LAM,CUW
R5LAM,CYM
R5LAM,DMA
R5LAM,DOM
R5LAM,ECU
R5LAM,FLK
R5LAM,GLP
R5LAM,GRD
R5LAM,GTM
R5LAM,GUF
R5LAM,GUY
R5LAM,HND
R5LAM,HTI
R5LAM,JAM
R5LAM,KNA
R5LAM,LCA
R5LAM,MAF
R5LAM,MEX
R5LAM,MSR
R5LAM,MTQ
R5LAM,NIC
R5LAM,PAN
R5LAM,PER
R5LAM,PRI
R5LAM,PRY
R5LAM,SLV
R5LAM,SUR
R5LAM,SXM
R5LAM,TTO
R5LAM,URY
R5LAM,VCT
R5LAM,VEN
R5ASIA,IND
R5MAF,ARE
R5MAF,BHR
R5MAF,DJI
R5MAF,DZA
R5MAF,EGY
R5MAF,ESH
R5MAF,IRN
R5MAF,IRQ
R5MAF,ISR
R5MAF,JOR
R5MAF,KWT
R5MAF,LBN
R5MAF,LBY
R5MAF,MAR
R5MAF,OMN
R5MAF,PSE
R5MAF,QAT
R5MAF,SAU
R5MAF,SYR
R5MAF,TUN
R5MAF,YEM
R5REF,BGR
R5REF,CYP
R5REF,CZE
R5REF,EST
R5REF,KSV
R5REF,HUN
R5REF,LTU
R5REF,LVA
R5REF,POL
R5REF,ROU
R5REF,SVK
R5REF,SVN
R5REF,MLT
R5REF,HRV
R5OECD,AUT
R5OECD,BEL
R5OECD,DEU
R5OECD,DNK
R5OECD,ESP
R5OECD,FIN
R5OECD,FRA
R5OECD,GBR
R5OECD,GRC
R5OECD,IRL
R5OECD,ITA
R5OECD,LUX
R5OECD,NLD
R5OECD,PRT
R5OECD,SWE
R5OECD,LIE
R5OECD,NOR
R5OECD,CHE
R5OECD,GRL
R5OECD,ISL
R5OECD,FRO
R5OECD,ALA
R5OECD,AND
R5OECD,GGY
R5OECD,GIB
R5OECD,IMN
R5OECD,JEY
R5OECD,MCO
R5OECD,SJM
R5OECD,SMR
R5OECD,VAT
R5OECD,SPM
R5ASIA,AFG
R5ASIA,BGD
R5ASIA,BTN
R5ASIA,LKA
R5ASIA,MDV
R5ASIA,NPL
R5ASIA,PAK
R5MAF,AGO
R5MAF,BEN
R5MAF,BWA
R5MAF,BFA
R5MAF,BDI
R5MAF,CMR
R5MAF,CPV
R5MAF,CAF
R5MAF,TCD
R5MAF,COM
R5MAF,COG
R5MAF,COD
R5MAF,CIV
R5MAF,GNQ
R5MAF,ERI
R5MAF,ETH
R5MAF,GAB
R5MAF,GMB
R5MAF,GHA
R5MAF,GIN
R5MAF,GNB
R5MAF,KEN
R5MAF,LSO
R5MAF,LBR
R5MAF,MDG
R5MAF,MWI
R5MAF,MLI
R5MAF,MRT
R5MAF,MUS
R5MAF,MYT
R5MAF,MOZ
R5MAF,NAM
R5MAF,NER
R5MAF,NGA
R5MAF,REU
R5MAF,RWA
R5MAF,STP
R5MAF,SEN
R5MAF,SYC
R5MAF,SHN
R5MAF,SLE
R5MAF,SOM
R5MAF,SSD
R5MAF,SDN
R5MAF,SWZ
R5MAF,TZA
R5MAF,TGO
R5MAF,UGA
R5MAF,ZMB
R5MAF,ZWE
R5REF,ALB
R5REF,ARM
R5REF,AZE
R5REF,BLR
R5REF,BIH
R5REF,GEO
R5REF,KAZ
R5REF,KGZ
R5REF,MKD
R5REF,MDA
R5REF,MNE
R5REF,RUS
R5REF,SRB
R5REF,TJK
R5REF,TUR
R5REF,TKM
R5REF,UKR
R5REF,UZB
R5OECD,USA
R5OECD,CXR
R5LAM,ATA
R5MAF,ATF
R5LAM,BMU
R5MAF,BVT
R5OECD,COK
R5OECD,HMD
R5MAF,IOT
R5OECD,NFK
R5OECD,NIU
R5OECD,NRU
R5OECD,PCN
R5LAM,SGS
R5LAM,TCA
R5OECD,TKL
R5OECD,TUV
R5OECD,UMI
R5LAM,VGB
R5LAM,VIR
R5OECD,WLF
