"Region","metric","Year","best_horizon","value","predictive_capacity","past_at_best_horizon","anticipatory_skill","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max"
"Global","Predictive capacity",2014,5,4.80359759542032,4.80359759542032,4.97700714779066,-0.173409552370338,7,8,6,6,6,5,5.875,6
"HIC","Predictive capacity",2015,4,3.90843190736684,3.90843190736684,2.9719413689819,0.936490538384943,7,8,5,5,5,3,4.75,5
"UMC","Predictive capacity",2014,1,4.8595272323007,4.8595272323007,5.01689210618242,-0.157364873881727,7,8,2,2,2,1,1.875,2
"LMC","Predictive capacity",2014,1,4.0175599107356,4.0175599107356,3.36039610900004,0.657163801735567,7,8,2,2,2,1,1.875,2
"LIC","Predictive capacity",2013,4,3.15455822554115,3.15455822554115,0.604653701489463,2.54990452405169,8,8,1,4.5,5,5,5,5
"Global","Anticipatory skill",2013,4,1.92861809412611,3.25072532488629,1.32210723076019,1.92861809412611,8,8,1,4.5,5,5,5,5
"HIC","Anticipatory skill",2006,1,1.96637067764217,-4.44812699544317,-6.41449767308534,1.96637067764217,6,6,2,2,2,2,2,2
"UMC","Anticipatory skill",2013,3,2.02919610488975,2.72123583620538,0.692039731315632,2.02919610488975,8,8,1,3.625,4,4,4,4
"LMC","Anticipatory skill",2011,4,1.44911380470474,3.30757919776367,1.85846539305893,1.44911380470474,8,8,3,4.75,5,5,5,5
"LIC","Anticipatory skill",2012,5,2.65368379300214,2.22712029402464,-0.4265634989775,2.65368379300214,8,8,2,5.5,6,6,6,6
