"Risk_Type","Lag","mean_sim","sd_sim","q025","q975"
"Climate",-5,0.272000122783278,0.0370703626193684,0.197455525085073,0.343595947809098
"Climate",-4,-0.000229751437225112,0.0481970744941216,-0.0962571356661229,0.095562741290023
"Climate",-3,-0.000173492882028231,0.0611795906350263,-0.12340529167183,0.123867624165743
"Climate",-2,-0.000265088112177375,0.0892466368285702,-0.183591462788665,0.166054938947591
"Climate",-1,-0.000449278781125105,0.331312630126217,-0.667397516144947,0.623283517647128
"Climate",1,-0.00223860837074184,0.343329499027591,-0.67203659607661,0.642967847828971
"Climate",2,-0.000123066582367816,0.091400358638593,-0.176509969638032,0.172829430893081
"Climate",3,-0.045777495121404,0.0622070708277714,-0.164067588699081,0.0740158921756379
"Climate",4,-0.237540326809368,0.0471888936278934,-0.329497788194439,-0.148091555021612
"Climate",5,-0.293339851921577,0.0379015597260444,-0.36599247298775,-0.220774923810964
"Diseases",-5,0.538572615557437,0.104677124122049,0.323502169819642,0.741442836587374
"Diseases",-4,0.00467270126556872,0.175470620634278,-0.344072580720045,0.347230877964946
"Diseases",-3,0.0058309303839628,0.195323258231774,-0.383986467250251,0.387324733977353
"Diseases",-2,0.0247295373035347,0.651109629915998,-1.24593917379345,1.22465374527315
"Diseases",-1,0.0251107688987844,0.539895839039507,-1.05266961464348,1.04440322885553
"Diseases",1,0.00293577009254602,0.536174994638067,-1.03600033969807,1.04315389659062
"Diseases",2,0.0127092806061469,0.647679699399848,-1.26528328286612,1.24391904431734
"Diseases",3,0.00399143783709368,0.194283618270701,-0.384736841732793,0.378624887901871
"Diseases",4,0.00237052272395393,0.177712222233029,-0.364611575526676,0.346422065163626
"Diseases",5,0.00178188988471037,0.12041791004826,-0.242920252481126,0.229348895731373
"Economic",-5,0.369637895789597,0.0367469749642503,0.296738574654468,0.44008349834947
"Economic",-4,0.000280724371616358,0.0795753426754893,-0.156866113055396,0.155507269457673
