"Region","Risk_Type","Year","horizon","Risk_Score","future_shocks","past_shocks","future_window_years","past_window_years"
"Global","Geophysical",2006,1,NA,4.19578175400254,4.58913629344028,2,2
"Global","Geophysical",2006,2,NA,4.23948781394007,5.15731507262812,3,3
"Global","Geophysical",2006,3,NA,3.99910448428367,5.24472719250318,4,4
"Global","Geophysical",2006,4,NA,3.98599266630241,5.34962173635324,5,5
"Global","Geophysical",2006,5,NA,4.10836963412749,5.13546204265936,6,6
"Global","Geophysical",2007,1,1.494260322,3.93354539437738,4.19578175400254,2,2
"Global","Geophysical",2007,2,1.494260322,3.71501509468975,4.23948781394007,3,3
"Global","Geophysical",2007,3,1.494260322,3.76964766961166,4.753034018206,4,4
"Global","Geophysical",2007,4,1.494260322,3.9597690303399,4.90381992499047,5,5
"Global","Geophysical",2007,5,1.494260322,3.93354539437738,5.04804992278431,6,6
"Global","Geophysical",2008,1,1.609589041,3.8024272145648,3.93354539437738,2,2
"Global","Geophysical",2008,2,1.609589041,3.84613327450233,4.23948781394007,3,3
"Global","Geophysical",2008,3,1.609589041,4.06466357418996,4.26134084390883,4,4
"Global","Geophysical",2008,4,1.609589041,4.01221630226493,4.66780720132783,5,5
"Global","Geophysical",2008,5,1.609589041,4.08651660415872,4.80766659312791,6,6
"Global","Geophysical",2009,1,1.699817161,3.60574994484593,3.8024272145648,2,2
"Global","Geophysical",2009,2,1.699817161,3.97725145431491,3.71501509468975,3,3
"Global","Geophysical",2009,3,1.699817161,3.93354539437738,3.99910448428367,4,4
"Global","Geophysical",2009,4,1.699817161,4.03843993822744,4.06466357418996,5,5
"Global","Geophysical",2009,5,1.699817161,4.06466357418996,4.43616508365894,6,6
"Global","Geophysical",2010,1,2.027305984,4.32689993381512,3.60574994484593,2,2
"Global","Geophysical",2010,2,2.027305984,4.15207569406501,3.84613327450233,3,3
"Global","Geophysical",2010,3,2.027305984,4.22856129895568,3.76964766961166,4,4
"Global","Geophysical",2010,4,2.027305984,4.22200538996506,3.98599266630241,5,5
"Global","Geophysical",2010,5,2.027305984,4.17392872403378,4.0428105442212,6,6
"Global","Geophysical",2011,1,3.445,4.26134084390883,4.32689993381512,2,2
"Global","Geophysical",2011,2,3.445,4.32689993381512,3.97725145431491,3,3
"Global","Geophysical",2011,3,3.445,4.29412038886197,4.06466357418996,4,4
"Global","Geophysical",2011,4,3.445,4.22200538996506,3.9597690303399,5,5
"Global","Geophysical",2011,5,3.445,4.17392872403378,4.10836963412749,6,6
"Global","Geophysical",2012,1,2.857594513,4.13022266409625,4.26134084390883,2,2
"Global","Geophysical",2012,2,2.857594513,4.15207569406501,4.15207569406501,3,3
"Global","Geophysical",2012,3,2.857594513,4.09744311914311,3.93354539437738,4,4
"Global","Geophysical",2012,4,2.857594513,4.06466357418996,4.01221630226493,5,5
"Global","Geophysical",2012,5,2.857594513,3.93354539437738,3.93354539437738,6,6
"Global","Geophysical",2013,1,3.17,4.32689993381512,4.13022266409625,2,2
"Global","Geophysical",2013,2,3.17,4.19578175400254,4.32689993381512,3,3
"Global","Geophysical",2013,3,3.17,4.13022266409625,4.22856129895568,4,4
"Global","Geophysical",2013,4,3.17,3.9597690303399,4.03843993822744,5,5
"Global","Geophysical",2013,5,3.17,3.95539842434614,4.08651660415872,6,6
"Global","Geophysical",2014,1,3.365159129,4.06466357418996,4.32689993381512,2,2
"Global","Geophysical",2014,2,3.365159129,4.02095751425243,4.15207569406501,3,3
"Global","Geophysical",2014,3,3.365159129,3.83520675951795,4.29412038886197,4,4
"Global","Geophysical",2014,4,3.365159129,3.85487448648983,4.22200538996506,5,5
"Global","Geophysical",2014,5,3.365159129,3.97725145431491,4.06466357418996,6,6
"Global","Geophysical",2015,1,3.871544715,3.93354539437738,4.06466357418996,2,2
"Global","Geophysical",2015,2,3.871544715,3.71501509468975,4.19578175400254,3,3
"Global","Geophysical",2015,3,3.871544715,3.76964766961166,4.09744311914311,4,4
"Global","Geophysical",2015,4,3.871544715,3.93354539437738,4.22200538996506,5,5
"Global","Geophysical",2015,5,3.871544715,3.71501509468975,4.17392872403378,6,6
"Global","Geophysical",2016,1,3.871527778,3.60574994484593,3.93354539437738,2,2
"Global","Geophysical",2016,2,3.871527778,3.71501509468975,4.02095751425243,3,3
"Global","Geophysical",2016,3,3.871527778,3.93354539437738,4.13022266409625,4,4
"Global","Geophysical",2016,4,3.871527778,3.67130903475222,4.06466357418996,5,5
"Global","Geophysical",2016,5,3.871527778,3.84613327450233,4.17392872403378,6,6
"Global","Geophysical",2017,1,4.067357513,3.60574994484593,3.60574994484593,2,2
"Global","Geophysical",2017,2,4.067357513,3.93354539437738,3.71501509468975,3,3
"Global","Geophysical",2017,3,4.067357513,3.60574994484593,3.83520675951795,4,4
"Global","Geophysical",2017,4,4.067357513,3.82865085052732,3.9597690303399,5,5
"Global","Geophysical",2017,5,4.067357513,3.97725145431491,3.93354539437738,6,6
"Global","Geophysical",2018,1,4.177744288,4.26134084390883,3.60574994484593,2,2
"Global","Geophysical",2018,2,4.177744288,3.71501509468975,3.71501509468975,3,3
"Global","Geophysical",2018,3,4.177744288,3.96632493933053,3.76964766961166,4,4
"Global","Geophysical",2018,4,4.177744288,4.11711084611499,3.85487448648983,5,5
"Global","Geophysical",2018,5,4.177744288,4.2176347839713,3.95539842434614,6,6
"Global","Geophysical",2019,1,3.964143426,3.60574994484593,4.26134084390883,2,2
"Global","Geophysical",2019,2,3.964143426,3.97725145431491,3.93354539437738,3,3
"Global","Geophysical",2019,3,3.964143426,4.1630022090494,3.93354539437738,4,4
"Global","Geophysical",2019,4,3.964143426,4.27445266189009,3.93354539437738,5,5
"Global","Geophysical",2019,5,3.964143426,3.8024272145648,3.97725145431491,6,6
"Global","Geophysical",2020,1,3.844357977,3.67130903475222,3.60574994484593,2,2
"Global","Geophysical",2020,2,3.844357977,4.02095751425243,3.71501509468975,3,3
"Global","Geophysical",2020,3,3.844357977,4.19578175400254,3.60574994484593,4,4
