"Region","Risk_Type","center_year","start_year","end_year","best_horizon","rolling_predictive_capacity","rolling_predictive_capacity_se","rolling_predictive_capacity_p","rolling_past_at_best_horizon","rolling_past_at_best_horizon_se","rolling_past_at_best_horizon_p","rolling_anticipatory_skill","n_future","n_past"
"Global","Geophysical",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Global","Geophysical",2007,2004,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Global","Geophysical",2008,2005,2011,2,0.266965167674194,0.0821292701296275,0.0474698195205885,-0.064973575365597,0.164663834196454,0.719528983363708,0.331938743039791,5,5
"Global","Geophysical",2009,2006,2012,2,0.252850828513038,0.0665163241227747,0.0190817353719039,-0.0217918898453772,0.138057986671822,0.882226065541105,0.274642718358415,6,6
"Global","Geophysical",2010,2007,2013,1,0.249765423524793,0.108397870280873,0.0694116242393386,0.188157130440934,0.119473003631022,0.176098515736404,0.0616082930838594,7,7
"Global","Geophysical",2011,2008,2014,1,0.224532347566825,0.11843377591932,0.116482453269056,0.298900335990767,0.0845205733290814,0.0166257423997793,-0.0743679884239418,7,7
"Global","Geophysical",2012,2009,2015,1,0.0980660754177563,0.140234253397937,0.515549455273,0.264837365728431,0.102902874483591,0.0498134042520311,-0.166771290310675,7,7
"Global","Geophysical",2013,2010,2016,5,-0.173251959616223,0.0856182620279523,0.0989226661605648,0.0902230537285812,0.0414960638201277,0.0817029916143585,-0.263475013344804,7,7
"Global","Geophysical",2014,2011,2017,5,-0.102075568003279,0.136093281215342,0.487001530716291,0.0711604745389749,0.0981717318160445,0.50102863523843,-0.173236042542254,7,7
"Global","Geophysical",2015,2012,2018,5,0.0535331064733628,0.134810000758977,0.707677373126836,0.0176741305050623,0.095489155374593,0.860431825168454,0.0358589759683005,7,7
"Global","Geophysical",2016,2013,2019,4,0.117137570133361,0.231312046585194,0.634105961896797,-0.205838080110677,0.141351013251805,0.205107137537221,0.322975650244039,7,7
"Global","Geophysical",2017,2014,2020,4,0.29384920827012,0.374416533341928,0.468096307292418,-0.406051730168709,0.293944001614866,0.225700942443385,0.699900938438829,7,7
"Global","Geophysical",2018,2015,2021,5,0.281015081860428,0.30245137005759,0.395468499482419,0.148119139896633,0.280630298586616,0.620207367894373,0.132895941963796,7,7
"Global","Geophysical",2019,2016,2022,5,0.27704580771295,0.3111539608597,0.423575301127309,0.153443323189523,0.258609127271954,0.584876823891931,0.123602484523427,6,6
"Global","Geophysical",2020,2017,2023,5,0.275525076913652,0.355927435706129,0.495276578798576,0.160913672323346,0.173750139265775,0.422692422654932,0.114611404590306,5,5
"Global","Geophysical",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Global","Climate",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
