"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p","best_horizon","past_at_best_horizon","anticipatory_skill","risk_set"
"Global",2007,1,4,4,2,2,2,2,2,2,-1.10565043670379,3.6789372661293,0.792131385867582,-1.31790243531313,3.96852771422594,0.771396162799127,1,-1.31790243531313,0.212251998609331,"Climate, Diseases, Conflicts, Terrorism"
"Global",2008,4,4,4,5,5,5,5,5,5,4.90404542114621,4.09837629150007,0.354076547613913,6.20386426868588,4.52600913400163,0.304022855268396,4,6.20386426868588,-1.29981884753967,"Climate, Diseases, Conflicts, Terrorism"
"Global",2011,4,4,4,5,5,5,5,5,5,12.0971535976637,4.402825824868,0.1108659804125,11.2044883182244,7.94955991494463,0.294087720483946,4,11.2044883182244,0.892665279439344,"Climate, Diseases, Conflicts, Terrorism"
"Global",2012,3,4,4,4,4,4,4,4,4,3.72309654191056,8.38376565418886,0.700408614656457,-0.929388547754228,9.55876895805894,0.931410699112209,3,-0.929388547754228,4.65248508966478,"Climate, Diseases, Conflicts, Terrorism"
"Global",2013,2,4,4,3,3,3,3,3,3,7.49063534285227,4.23773361821513,0.219159264666149,6.29921182362248,5.53884704369626,0.373322015496891,2,6.29921182362248,1.19142351922979,"Climate, Diseases, Conflicts, Terrorism"
"Global",2014,1,4,4,2,2,2,2,2,2,4.7718103901919,0.940508522640358,0.0367207420514769,4.50566248489341,0.821961550147771,0.0317059127828963,1,4.50566248489341,0.266147905298491,"Climate, Diseases, Conflicts, Terrorism"
"Global",2015,4,4,4,5,5,5,5,5,5,5.37588102461528,3.03366196244087,0.21838996327568,4.84390739880993,3.56322176241093,0.306997997658913,4,4.84390739880993,0.531973625805345,"Climate, Diseases, Conflicts, Terrorism"
"Global",2016,3,4,4,4,4,4,4,4,4,5.01828394581206,1.76487695655016,0.104630664238003,4.85830951019375,1.96563943164793,0.132038443163971,3,4.85830951019375,0.159974435618309,"Climate, Diseases, Conflicts, Terrorism"
"Global",2017,2,4,4,3,3,3,3,3,3,4.14747544727818,2.32498555653894,0.216378064221766,4.56686604836654,1.81615885880112,0.128389751256367,2,4.56686604836654,-0.41939060108836,"Climate, Diseases, Conflicts, Terrorism"
"Global",2018,1,4,4,2,2,2,2,2,2,3.82655098545392,1.20689854086666,0.0867316203157882,3.67695587778451,0.929404553062235,0.0583536804417173,1,3.67695587778451,0.149595107669414,"Climate, Diseases, Conflicts, Terrorism"
"Global",2019,1,4,4,2,2,2,2,2,2,4.20396772150737,0.496271294344028,0.0136507153280023,4.01457970696156,0.550663638354114,0.0182996396566805,1,4.01457970696156,0.189388014545809,"Climate, Diseases, Conflicts, Terrorism"
"Global",2020,2,4,4,1,2.5,3,3,3,3,3.66969710212997,0.719183003840247,0.0363277176926194,3.55473286533535,0.0652003620341725,0.000336253631090892,2,3.55473286533535,0.114964236794612,"Climate, Diseases, Conflicts, Terrorism"
"HIC",2007,1,4,4,2,2,2,2,2,2,0.666679106475803,2.093462684009,0.780317389097492,0.21004852782843,2.49250977838634,0.940516286092601,1,0.21004852782843,0.456630578647372,"Climate, Diseases, Conflicts, Terrorism"
"HIC",2008,5,4,4,6,6,6,6,6,6,3.78791602738795,1.09898122417974,0.0748465902585015,5.0920949592456,1.56245499651495,0.0826463041546937,5,5.0920949592456,-1.30417893185766,"Climate, Diseases, Conflicts, Terrorism"
"HIC",2011,4,4,4,5,5,5,5,5,5,7.48262631246778,2.78954603073097,0.115412807421169,5.61894843678651,4.07573845958427,0.30195827086621,4,5.61894843678651,1.86367787568127,"Climate, Diseases, Conflicts, Terrorism"
"HIC",2012,3,4,4,4,4,4,4,4,4,5.22985694133933,4.63053021254124,0.375959260954014,1.31029751379598,4.84360596585985,0.812119186055682,3,1.31029751379598,3.91955942754336,"Climate, Diseases, Conflicts, Terrorism"
"HIC",2013,2,4,4,3,3,3,3,3,3,5.69586611272412,2.25209869065493,0.127184740701884,4.28882893203187,3.19522810297837,0.31158549525445,2,4.28882893203187,1.40703718069226,"Climate, Diseases, Conflicts, Terrorism"
"HIC",2014,5,4,4,6,6,6,6,6,6,2.36133530496787,1.59052772018031,0.275931765515007,2.65263559788609,0.790475879276689,0.0784892287908968,5,2.65263559788609,-0.291300292918225,"Climate, Diseases, Conflicts, Terrorism"
