"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"Global",2006,1,6,6,2,2,2,2,2,2,-6.36506436058888,4.74265469234756,0.250682636936302,-7.60886161682667,4.42152914088828,0.160387299788583
"Global",2006,2,6,6,3,3,3,3,3,3,-6.38405703118113,4.27689338777944,0.209805503608186,-8.01896422920565,3.72963174861128,0.0979740587004167
"Global",2006,3,6,6,4,4,4,4,4,4,-5.99994165743978,3.91929428424933,0.200551744121123,-7.70176255749629,3.69786889493276,0.105692751273826
"Global",2006,4,6,6,5,5,5,5,5,5,-6.1935682369454,3.87334167039071,0.185061683077641,-7.97824749021676,3.80077977598639,0.103757709066745
"Global",2006,5,6,6,6,6,6,6,6,6,-6.06386595952862,3.76279456689244,0.182355553476082,-7.81917495475587,3.89608919468182,0.115201807145331
"Global",2007,1,8,8,2,2,2,2,2,2,-0.501481612747034,1.05768765105774,0.652168930432796,-0.426851444591487,1.1590780473812,0.725317004223535
"Global",2007,2,8,8,3,3,3,3,3,3,-0.567322640023551,0.959873865616118,0.57606680466049,-0.414782599428907,1.18493893554555,0.73826480568544
"Global",2007,3,8,8,4,4,4,4,4,4,-0.606210665281882,0.970842517204692,0.555337703230037,-0.612565521799328,1.13822615285837,0.609823577630973
"Global",2007,4,8,8,5,5,5,5,5,5,-0.639462337099307,0.948577585384176,0.525336223685972,-0.674570080979659,1.12343318608256,0.570172833529605
"Global",2007,5,8,8,6,6,6,6,6,6,-0.653477512333436,0.93385528638207,0.51028113984761,-0.733428221432589,1.15200656860656,0.547855501450789
"Global",2008,1,8,8,2,2,2,2,2,2,0.176919606714032,1.16766979502499,0.884535462883032,0.377813704383442,1.36670870320305,0.791485425179989
"Global",2008,2,8,8,3,3,3,3,3,3,0.150242590141759,1.22099236828467,0.906086157050785,0.280688531662453,1.40535185136112,0.848290196414542
"Global",2008,3,8,8,4,4,4,4,4,4,0.0164762577737206,1.20867478881433,0.989565802094237,0.331684936441577,1.45111988178138,0.826792995891579
"Global",2008,4,8,8,5,5,5,5,5,5,-0.025166782557975,1.20187601395458,0.983972837104056,0.0502107299982758,1.44387964357771,0.973387291037124
"Global",2008,5,8,8,6,6,6,6,6,6,-0.0523067162371966,1.16255310465136,0.965572982755807,-0.0225595145410464,1.44246497511443,0.988029026609803
"Global",2009,1,7,7,2,2,2,2,2,2,0.503097906348822,1.07868114127017,0.660542900863662,0.707875856820024,1.01951581912187,0.518410493448995
"Global",2009,2,7,7,3,3,3,3,3,3,0.32340760355724,1.0808381606798,0.776810972307985,0.577278784651181,1.13820117672717,0.633596257601045
"Global",2009,3,7,7,4,4,4,4,4,4,0.264400089839733,1.09291019574037,0.818448988533927,0.445322951585359,1.2009018442705,0.725960979657285
"Global",2009,4,7,7,5,5,5,5,5,5,0.137660256800863,1.06157687948868,0.901878582029826,0.406725463340955,1.26064049631514,0.760027110393409
"Global",2009,5,7,7,5,5.875,6,6,6,6,0.0331292200949964,1.02890375554711,0.975559489378004,0.290043802643655,1.26763336156281,0.828082721152396
"Global",2010,1,7,7,2,2,2,2,2,2,0.438898043948042,1.03035317175555,0.687845248894374,0.755000224010448,0.908306652461824,0.443720407724619
"Global",2010,2,7,7,3,3,3,3,3,3,0.407715337922554,1.0211074415127,0.7061654275251,0.804722170291601,0.925619226096259,0.424395006357366
"Global",2010,3,7,7,4,4,4,4,4,4,0.259792612443581,0.977605282072111,0.801045797145411,0.790876351884556,0.984854914970234,0.458408882678225
"Global",2010,4,7,7,4,4.875,5,5,5,5,0.143675649989165,0.943737541459856,0.884949332990839,0.737725173312569,1.02520447355041,0.503998830741647
"Global",2010,5,7,7,4,5.75,6,6,6,6,0.159595063065218,0.951990989690734,0.873433456887268,0.759211045768705,1.06445929329101,0.507596004293673
"Global",2011,1,8,8,2,2,2,2,2,2,3.53175458043463,3.39133572741526,0.337820137769479,3.44845925773618,3.6373787810816,0.379701647311523
"Global",2011,2,8,8,3,3,3,3,3,3,4.15534684269968,3.05112777608732,0.222140841565983,3.02073325075065,3.42203082597095,0.411349049030074
"Global",2011,3,8,8,3,3.875,4,4,4,4,4.34939856724107,2.81092584631095,0.17275076711494,2.89646581439818,3.51784312205637,0.441790664086792
"Global",2011,4,8,8,3,4.75,5,5,5,5,4.56779051827477,2.77130699625511,0.150399026689091,3.14293277697072,3.63696790968154,0.420697907183827
"Global",2011,5,8,8,3,5.625,6,6,6,6,4.5781171869642,2.69612419851233,0.140419764919464,3.22721491919517,3.74031160057098,0.421380230196075
"Global",2012,1,8,8,2,2,2,2,2,2,-0.897498123823562,2.55271214208715,0.737166456451114,-1.81711004718161,2.6584262057165,0.519782053051611
"Global",2012,2,8,8,2,2.875,3,3,3,3,-0.70386951383858,2.43140774104736,0.781949082566979,-1.75870920797249,2.77630622482858,0.549795174557305
"Global",2012,3,8,8,2,3.75,4,4,4,4,-0.448185138009395,2.47840192852604,0.862449774583027,-1.51379002764069,2.6452551220714,0.587926281744519
"Global",2012,4,8,8,2,4.625,5,5,5,5,-0.414586284446058,2.43087448935263,0.870183225159396,-1.51216353375967,2.69417709890535,0.594938415222011
"Global",2012,5,8,8,2,5.5,6,6,6,6,-0.287574228612909,2.40815185463726,0.908843069334616,-1.32233016090907,2.79982672901123,0.65340796813035
"Global",2013,1,8,8,1,1.875,2,2,2,2,2.83579270709119,2.45022694898308,0.291113999624391,1.94963195320849,2.77961156541845,0.509327027838576
"Global",2013,2,8,8,1,2.75,3,3,3,3,3.19805431162177,2.43563891917074,0.23715434227096,1.42475977490337,2.87311679542039,0.637608042947291
"Global",2013,3,8,8,1,3.625,4,4,4,4,3.18273630909997,2.38037404463134,0.229657447464128,1.38312528807099,3.00211471580574,0.661228081431239
"Global",2013,4,8,8,1,4.5,5,5,5,5,3.25072532488629,2.34569629107165,0.215111092833288,1.32210723076019,2.89169647228886,0.663608423262117
"Global",2013,5,8,8,1,5.375,6,6,6,6,3.16454060085764,2.33880854110642,0.224793529267411,1.256086222081,2.95370345233333,0.685478207833806
"Global",2014,1,7,8,2,2,2,1,1.875,2,4.77807306328091,0.586243790746527,0.000451664162720943,4.57208974115505,0.782410340775642,0.0011074104356497
"Global",2014,2,7,8,3,3,3,2,2.875,3,4.67510393035084,0.512323769188758,0.000264699613730316,4.85958525687594,0.516456082985075,8.18646282816433e-05
"Global",2014,3,7,8,4,4,4,3,3.875,4,4.68169156246034,0.449161337539724,0.000140087112115859,4.90427615575903,0.58197683356361,0.000152308965502098
"Global",2014,4,7,8,5,5,5,4,4.875,5,4.62737118870924,0.449834786555667,0.000149245126951863,5.13074310623462,0.576212726482067,0.000111809674154499
"Global",2014,5,7,8,6,6,6,5,5.875,6,4.80359759542032,0.443688356408413,0.000116670295086496,4.97700714779066,0.55465697088855,0.000107060825945502
"Global",2015,1,7,7,2,2,2,2,2,2,4.03369182626679,1.88281860629203,0.0850620333987948,4.25956866277223,1.77713405040262,0.0618593291539962
"Global",2015,2,7,8,3,3,3,1,2.75,3,4.17550647208667,1.76857277970504,0.064674973108705,3.72415779638255,1.82385130370029,0.0872122755946771
"Global",2015,3,7,8,4,4,4,2,3.75,4,4.24629575791289,1.66510615649938,0.0512557537338055,3.9407747786442,1.77281748964095,0.0679273991691796
"Global",2015,4,7,8,5,5,5,3,4.75,5,4.53951373866787,1.67044525247472,0.0418972870573735,3.75529887942894,1.85945676705813,0.0899542657561566
"Global",2015,5,7,8,5,5.85714285714286,6,4,5.75,6,4.45284703864097,1.65948959001821,0.043649223933228,3.73073299531109,1.97057982907042,0.107173188250247
"Global",2016,1,7,7,2,2,2,2,2,2,4.37839889165575,1.08055762654492,0.00980622245888635,4.63620730722786,1.18782789424105,0.011373752648566
"Global",2016,2,7,7,3,3,3,3,3,3,4.48442324647198,0.956544157912899,0.00539402409244534,4.54020903381491,1.12100182083378,0.0098240669782045
"Global",2016,3,7,8,4,4,4,1,3.625,4,4.76174680893011,1.04455336699149,0.00606441529830746,4.35227464127128,1.23777435864088,0.0125762433399969
"Global",2016,4,7,8,4,4.85714285714286,5,2,4.625,5,4.5289171599682,1.18789737593791,0.0124675627873375,4.54967403564472,1.14407016539959,0.0073103866368171
"Global",2016,5,7,8,4,5.57142857142857,6,3,5.625,6,4.49466895459961,1.31097247572261,0.0186657919747696,4.48929536200325,1.2162765682479,0.0101964403551125
"Global",2017,1,7,7,2,2,2,2,2,2,3.65586046756044,1.1337508794784,0.0233464720264049,3.69377449618332,1.05546675992663,0.0172907245897346
"Global",2017,2,7,7,3,3,3,3,3,3,3.91393512840549,1.2739103909605,0.0277087099720554,3.89225429506678,1.11266148738572,0.017318715863409
"Global",2017,3,7,7,3,3.85714285714286,4,4,4,4,3.58265688689109,1.41668504752505,0.0526003736447306,3.94110016015375,0.99163507696021,0.0105902077023244
"Global",2017,4,7,8,3,4.57142857142857,5,1,4.5,5,3.53001685962122,1.5249826820891,0.0684968001064178,3.45355380262427,1.17351956109699,0.0258500175274955
"Global",2017,5,7,8,3,5.28571428571429,6,2,5.5,6,3.51739704444224,1.58096628062168,0.0766604369012241,3.79494948602518,0.99237736521373,0.00871892107837351
"Global",2018,1,7,7,2,2,2,2,2,2,3.57164432520555,0.687317030554404,0.00347715284722628,3.09413862016212,0.673791144808033,0.00588219906663649
"Global",2018,2,7,7,2,2.85714285714286,3,3,3,3,3.20982214255195,0.914385833532404,0.0170941172940592,3.10707131471457,0.582243299911976,0.00309841011385098
"Global",2018,3,7,7,2,3.57142857142857,4,4,4,4,3.23633071942659,1.00570077096608,0.0235183739336205,3.21179188148733,0.632201215054615,0.00383336529838266
"Global",2018,4,7,7,2,4.28571428571429,5,5,5,5,3.26146063784313,1.04286344252113,0.0260334556694003,3.23037034750356,0.553727266368931,0.0020925575496372
"Global",2018,5,7,8,2,4.85714285714286,6,1,5.375,6,3.300775257735,1.04033103929362,0.0247367525792487,2.9885675145879,0.736561824715515,0.00666964752236185
"Global",2019,1,7,7,1,1.85714285714286,2,2,2,2,3.83629904135407,1.00505736622021,0.0124111171288981,3.88764585340983,0.513686584641466,0.000638806867505587
"Global",2019,2,7,7,1,2.57142857142857,3,3,3,3,3.92421732908533,1.05444331896033,0.0136894041878188,3.70199042306202,0.554398716974963,0.001138049042091
"Global",2019,3,7,7,1,3.28571428571429,4,4,4,4,3.96360528819545,1.05324344250005,0.013113771695694,3.57606746269372,0.503752155453574,0.000859388979704932
"Global",2019,4,7,7,1,3.85714285714286,5,5,5,5,3.96270384858471,1.03684792749187,0.0123494906355497,3.59494211534041,0.562052118583549,0.00138426782004469
"Global",2019,5,7,7,1,4.28571428571429,6,6,6,6,3.36863009361158,1.01431501848616,0.0209831641449352,3.5153571957051,0.565587830331256,0.00157567730113002
"Global",2020,1,6,7,1,1.83333333333333,2,1,1.85714285714286,2,3.00007948904208,1.24221520409932,0.0731494383159692,3.31713672588212,1.00564490340479,0.0215106133982456
"Global",2020,2,6,7,1,2.66666666666667,3,2,2.85714285714286,3,3.13104254936705,1.13881844780987,0.0514072730964625,3.18019570319224,0.731601410429057,0.00738075154675189
"Global",2020,3,6,7,1,3.33333333333333,4,3,3.85714285714286,4,3.12936625110757,1.09115739881009,0.0455634326053275,3.11655063704212,0.688826827850696,0.00625736672530816
"Global",2020,4,6,7,1,3.83333333333333,5,4,4.85714285714286,5,2.51751894226497,1.0571502651353,0.0758719849550148,3.04237955723072,0.622205402319126,0.00451482563856953
"Global",2020,5,6,7,1,3.83333333333333,5,5,5.85714285714286,6,2.51751894226497,1.0571502651353,0.0758719849550148,3.06947023816046,0.637683868264158,0.00482608056070282
"Global",2021,1,5,6,2,2,2,1,1.83333333333333,2,3.05780635204886,2.27206751259459,0.271029571721603,3.63414135428625,1.97046671011169,0.13890334483653
"Global",2021,2,5,7,2,2.8,3,1,2.57142857142857,3,2.93685219659103,2.22666668818121,0.278828602171007,3.56265846003613,1.89352265775158,0.118648261734773
"Global",2021,3,5,7,2,3.4,4,2,3.57142857142857,4,2.36991761541156,1.84307053190246,0.288756155655541,2.89619723898121,1.80415410308714,0.169336429198339
"Global",2021,4,5,7,2,3.4,4,3,4.57142857142857,5,2.36991761541156,1.84307053190246,0.288756155655541,2.631666122545,1.78687256966305,0.200798545397617
"Global",2021,5,5,7,2,3.4,4,4,5.57142857142857,6,2.36991761541156,1.84307053190246,0.288756155655541,2.4583037635291,1.73086064936514,0.21476539570261
"HIC",2006,1,6,6,2,2,2,2,2,2,-4.44812699544317,3.28658803723984,0.24735021431158,-6.41449767308534,3.19295847833398,0.114936369385513
"HIC",2006,2,6,6,3,3,3,3,3,3,-4.62142031849294,2.53826876301442,0.142761326699343,-6.82012533951953,2.83346347594812,0.0737948215168594
"HIC",2006,3,6,6,4,4,4,4,4,4,-4.69983607353495,1.78820480188554,0.0582934275167673,-6.71130868984052,2.63094370911516,0.0632441485171711
"HIC",2006,4,6,6,5,5,5,5,5,5,-4.94109029827028,1.8413830730803,0.0550362305881527,-6.99697680046808,2.75325798162119,0.0638896158905533
"HIC",2006,5,6,6,6,6,6,6,6,6,-4.81132278317482,1.7082874489576,0.0480005192307653,-6.69366356737746,2.76838291090211,0.0729287830464309
"HIC",2007,1,8,8,2,2,2,2,2,2,0.247473559295816,0.634864831929923,0.710141742988206,0.429130368195375,0.745915920227095,0.585995806582404
"HIC",2007,2,8,8,3,3,3,3,3,3,0.15217915352412,0.51982180897639,0.779571750595487,0.456745551079526,0.801124649608885,0.58928454872968
"HIC",2007,3,8,8,4,4,4,4,4,4,0.0919740645448964,0.56554856498273,0.876150225768253,0.348079297511138,0.798812012311061,0.678260805806717
"HIC",2007,4,8,8,5,5,5,5,5,5,0.00375772345790354,0.54894741161873,0.994760187288227,0.208658539424969,0.784714555382962,0.799214306300022
"HIC",2007,5,8,8,6,6,6,6,6,6,0.0415414781226266,0.570315054994389,0.944301304662535,0.229422789301221,0.813294941917261,0.787351710048196
"HIC",2008,1,8,8,2,2,2,2,2,2,0.615625291906275,0.717003488993567,0.423524970590311,0.414759183961075,0.803056744219721,0.623998390488381
"HIC",2008,2,8,8,3,3,3,3,3,3,0.52860182099963,0.747472162682543,0.505975622486753,0.671369031590757,0.800540625029588,0.433802082231678
"HIC",2008,3,8,8,4,4,4,4,4,4,0.342165879289515,0.721323281269491,0.652015218722953,0.788761312101921,0.87919459185292,0.404202134728452
"HIC",2008,4,8,8,5,5,5,5,5,5,0.416651706098538,0.743734017929165,0.59561378393179,0.72554390477619,0.901609477715016,0.451680966405899
"HIC",2008,5,8,8,6,6,6,6,6,6,0.394839964233335,0.741562065956054,0.613550203375119,0.505064856381763,0.915476003912706,0.601083803891927
"HIC",2009,1,7,7,2,2,2,2,2,2,0.410412515173253,0.732736530749597,0.599570034954267,0.597664333408173,0.705895076826406,0.435814665554779
"HIC",2009,2,7,7,3,3,3,3,3,3,0.265894184951542,0.68760955564661,0.71489282655081,0.12687685984508,0.661460635505751,0.855435087628504
"HIC",2009,3,7,7,4,4,4,4,4,4,0.251808774315074,0.732210263081045,0.744910178821504,0.0249735151805975,0.720436247362437,0.973688620421388
"HIC",2009,4,7,7,5,5,5,5,5,5,0.0779153800758963,0.741696716693822,0.920420055234527,-0.0533588196790513,0.815564598658135,0.950370474453633
"HIC",2009,5,7,7,5,5.875,6,6,6,6,-0.141710842931576,0.736778205773631,0.855044920100773,-0.124040886171611,0.847444490427386,0.889347272903995
"HIC",2010,1,7,7,2,2,2,2,2,2,0.306284421957097,0.661020965094325,0.662582718444042,0.641100841734231,0.599236914145162,0.333586024101846
"HIC",2010,2,7,7,3,3,3,3,3,3,0.367454759913459,0.683187838579757,0.613745909002652,0.655975124579875,0.613170040123531,0.333607533039991
"HIC",2010,3,7,7,4,4,4,4,4,4,0.212571683533602,0.695689412896204,0.772255026453422,0.41874127027973,0.604070080197244,0.519059197638579
"HIC",2010,4,7,7,4,4.875,5,5,5,5,-0.00463677118765346,0.696588454612778,0.994946417061894,0.36935439512579,0.639305685515069,0.58847878758256
"HIC",2010,5,7,7,4,5.75,6,6,6,6,-0.0621247420199037,0.71085303910778,0.933749993904369,0.344211720927261,0.707642555930466,0.647239285811237
"HIC",2011,1,8,8,2,2,2,2,2,2,0.710740778698879,2.29925850339489,0.767685046683647,0.693421045546379,2.34909101134192,0.777799253700641
"HIC",2011,2,8,8,3,3,3,3,3,3,1.28115010322565,2.31004759818907,0.599216976253874,0.00887573199530164,2.1576903401941,0.996851242022456
"HIC",2011,3,8,8,3,3.875,4,4,4,4,1.50920353855442,2.33697575927954,0.542307341480471,-0.115611628108401,2.25545947857813,0.960783364443783
"HIC",2011,4,8,8,3,4.75,5,5,5,5,1.39782108267648,2.46537743873167,0.591291129567756,0.37604495590631,2.14639501557426,0.86668658442479
"HIC",2011,5,8,8,3,5.625,6,6,6,6,1.69100929201599,2.42476168135902,0.511661621846355,0.604100569940014,2.2205470194848,0.794702604554405
"HIC",2012,1,8,8,2,2,2,2,2,2,-0.22461333473662,2.01803885276483,0.915006215511445,-0.720210085602006,1.71061946681437,0.688402985573758
"HIC",2012,2,8,8,2,2.875,3,3,3,3,-0.423560630027478,2.01130475118884,0.840176950174532,-0.788935379013018,1.81454555440859,0.678921400097313
"HIC",2012,3,8,8,2,3.75,4,4,4,4,-0.235988273597943,2.09770101215164,0.914097567104876,-0.625173722675258,1.69325399477703,0.724647284342332
"HIC",2012,4,8,8,2,4.625,5,5,5,5,-0.787041281525781,2.02148040485737,0.710468626527513,-0.536589253805711,1.74076254537077,0.768313710692308
