"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"Global",2006,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"Global",2006,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"Global",2006,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"Global",2006,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"Global",2006,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
"Global",2007,1,4,4,2,2,2,2,2,2,-1.10565043670379,3.6789372661293,0.792131385867582,-1.31790243531313,3.96852771422594,0.771396162799127
"Global",2007,2,4,4,3,3,3,3,3,3,-1.52835867145716,3.29809752815993,0.688613413209507,-1.4047148118823,4.05126678636421,0.76187425761465
"Global",2007,3,4,4,4,4,4,4,4,4,-1.49698023409808,3.3861386224238,0.701633447423263,-1.44001029069999,3.79225055625004,0.740679487314248
"Global",2007,4,4,4,5,5,5,5,5,5,-1.36361409002482,3.30539880830883,0.719960890299751,-1.51160143464626,3.67285043347364,0.72057452178214
"Global",2007,5,4,4,6,6,6,6,6,6,-1.19945410854232,3.29118873674795,0.750452167874093,-1.53907172759192,3.73854503561817,0.720502034207526
"Global",2008,1,4,4,2,2,2,2,2,2,4.31986964778802,4.17514494344376,0.409537216013645,6.20974803348946,4.42654025737878,0.295752668748013
"Global",2008,2,4,4,3,3,3,3,3,3,4.80500542145902,4.36324753445321,0.385607122658132,6.28817851937896,4.51104234417735,0.298013315213058
"Global",2008,3,4,4,4,4,4,4,4,4,4.83739278718915,4.17450357874134,0.366201835199153,6.49219948245013,4.68230412393586,0.29991427818375
"Global",2008,4,4,4,5,5,5,5,5,5,4.90404542114621,4.09837629150007,0.354076547613913,6.20386426868588,4.52600913400163,0.304022855268396
"Global",2008,5,4,4,6,6,6,6,6,6,4.88127859321424,3.920244073964,0.339181103370506,6.00376682430657,4.51355249353122,0.314870264686217
"Global",2009,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"Global",2009,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"Global",2009,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"Global",2009,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"Global",2009,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
