"term","real_est","std.error","statistic","p.value","Region","Risk_Type","Lag","N","mean_sim","sd_sim","q025","q975","z","signif","sig.two"
"Risk_Score",0.082920784651855,0.0685142549942558,1.21027054382781,0.246213152421654,"HIC","Climate",-5,16,0.268764721778182,0.0684856643597783,0.130707095071591,0.398167836580648,-2.71361808144293,TRUE,"SIM"
"Risk_Score",-0.183926924645606,0.0773593121633529,-2.37756670143632,0.0322226714043719,"HIC","Climate",-4,16,-0.00372610198899524,0.0885864978437098,-0.177706324143661,0.169567668548687,-2.03417932803408,TRUE,"BOTH"
"Risk_Score",-0.1876040378567,0.100650340486835,-1.8639185615198,0.0834394268985072,"HIC","Climate",-3,16,-0.00491570836265201,0.11191367586668,-0.220453448086033,0.211524201211482,-1.63240397636193,FALSE,"NONE"
"Risk_Score",-0.158893663661117,0.15550172181203,-1.02181288933371,0.324202819969909,"HIC","Climate",-2,16,-0.00761244712920802,0.157574925091544,-0.304185269282691,0.301372751119795,-0.960058946206202,FALSE,"NONE"
"Risk_Score",-0.171540824562232,0.179706683011445,-0.954560073602313,0.355992837559965,"HIC","Climate",-1,16,-0.0166260604683596,0.345683471419784,-0.654855252200364,0.671277991282841,-0.448140501070561,FALSE,"NONE"
"Risk_Score",0.136663794727231,0.221377097404751,0.617334838740632,0.546924063175901,"HIC","Climate",1,16,-0.0148916936836394,0.341789279645912,-0.681164454839157,0.641051980414324,0.443417911082171,FALSE,"NONE"
"Risk_Score",0.377698209632387,0.145147983006771,2.60215954647312,0.0208893449842086,"HIC","Climate",2,16,-0.00662471576098017,0.152573695881961,-0.307778170134029,0.287470999432952,2.51893305180664,TRUE,"BOTH"
"Risk_Score",0.234313646578927,0.0993157326990838,2.35928024907063,0.0333676878654501,"HIC","Climate",3,16,-0.0502927782607452,0.107620030492355,-0.258617098960552,0.160914289979921,2.64454882179102,TRUE,"BOTH"
"Risk_Score",0.0473326158935082,0.135491663997749,0.349339689962731,0.732033128173971,"HIC","Climate",4,16,-0.239795125343754,0.081691615500742,-0.398697701759571,-0.0846120646627654,3.5147761429036,TRUE,"SIM"
"Risk_Score",-0.0619940290467771,0.124309750180772,-0.498706086663556,0.625730284627517,"HIC","Climate",5,16,-0.29546910271557,0.0660796611780528,-0.424196216151545,-0.166082690269122,3.53323654368763,TRUE,"SIM"
"Risk_Score",0.00584352476607953,0.0407386182192856,0.14343944447564,0.888142701621431,"HIC","Geophysical",-5,16,0.0453511626492942,0.211547837843706,-0.360458216598716,0.44354465170633,-0.186755101285428,FALSE,"NONE"
"Risk_Score",0.0659104146487701,0.0660022480280308,0.998608632554126,0.336209983282088,"HIC","Geophysical",-4,16,-0.00396729589739301,0.244081456056456,-0.45735623254579,0.449430058149354,0.286288486127355,FALSE,"NONE"
"Risk_Score",0.192579785743534,0.0876574200699224,2.19695931719091,0.0467578681558453,"HIC","Geophysical",-3,16,-0.00379226061292744,0.276722752959108,-0.518794879787615,0.514319996454307,0.709634622583707,FALSE,"REG"
"Risk_Score",0.22433531061223,0.0932056819627583,2.40688449339244,0.0316740845026967,"HIC","Geophysical",-2,16,-0.00252387751415708,0.294830684938223,-0.57972165342669,0.556025715784085,0.769455825718825,FALSE,"REG"
"Risk_Score",0.284989576387915,0.147965496056923,1.92605427604743,0.0762485254777955,"HIC","Geophysical",-1,16,-0.00300467827999053,0.25839708530902,-0.52377075540469,0.490783568839052,1.11454142109804,FALSE,"NONE"
"Risk_Score",0.205107109235245,0.167027172782077,1.22798647560689,0.241222212274408,"HIC","Geophysical",1,16,-0.00153332889389395,0.2556316014953,-0.50143056507219,0.497922664171518,0.808352476456001,FALSE,"NONE"
"Risk_Score",0.159849849810637,0.106973258062901,1.49429729172728,0.158970165816673,"HIC","Geophysical",2,16,0.000765881023912168,0.293364151940184,-0.565252901870279,0.545647992731586,0.542274738527566,FALSE,"NONE"
"Risk_Score",0.113026403350971,0.110361868487472,1.02414361862496,0.324448107231969,"HIC","Geophysical",3,16,-0.0127140049330313,0.271665238237612,-0.534415288532871,0.511818552525246,0.462850562330775,FALSE,"NONE"
"Risk_Score",-0.0339654540002413,0.120947335208575,-0.280828460930267,0.783261674721938,"HIC","Geophysical",4,16,-0.114592834422319,0.236362666387301,-0.529275351326776,0.348498733998995,0.341117240105772,FALSE,"NONE"
"Risk_Score",-0.129025401633177,0.11853537191747,-1.088497041398,0.296143964447924,"HIC","Geophysical",5,16,-0.161478759021976,0.201333275250969,-0.511741657852061,0.244821951801004,0.161192218963033,FALSE,"NONE"
"Risk_Score",0.409017167075598,0.202686325801366,2.01798106240496,0.0631797074915642,"HIC","Diseases",-5,16,0.531124036612111,0.17872460004031,0.155902280026126,0.861442841497361,-0.683212436950326,FALSE,"NONE"
"Risk_Score",0.484708528214436,0.242415830399932,1.99949206045981,0.065348431762478,"HIC","Diseases",-4,16,0.00774169366990087,0.288024840392865,-0.576064093302778,0.552930451641879,1.65599201059864,FALSE,"NONE"
"Risk_Score",0.538385930907501,0.257362673797242,2.09193478978096,0.0551494687749751,"HIC","Diseases",-3,16,0.00842042022158867,0.313579413623214,-0.621086282896636,0.593754063022889,1.69005198575536,FALSE,"NONE"
"Risk_Score",0.939936948600305,0.338051413504357,2.78045560838393,0.0147361763426421,"HIC","Diseases",-2,16,0.0211854478898213,0.639153830437589,-1.21033186006147,1.15939080588634,1.43744972956115,FALSE,"REG"
"Risk_Score",0.999813618436475,0.421884924045904,2.36987282894159,0.032699808722253,"HIC","Diseases",-1,16,0.015801068839039,0.528648227493453,-1.03929104225128,0.993014338826041,1.86137491515494,TRUE,"BOTH"
"Risk_Score",0.852235936745871,0.555960024701614,1.53290866048017,0.147581029110714,"HIC","Diseases",1,16,0.0072107561310276,0.518994724741416,-0.995452868928366,0.974328266494447,1.62819608818927,FALSE,"NONE"
"Risk_Score",0.736775932577306,0.580897999758676,1.26833959298084,0.225362574024447,"HIC","Diseases",2,16,0.00354514921290838,0.64533791681804,-1.23964821811748,1.17065194620099,1.13619665644277,FALSE,"NONE"
"Risk_Score",0.980968545458126,0.617221817831713,1.58932901773344,0.134307696766201,"HIC","Diseases",3,16,0.000354966587507064,0.314350727431564,-0.631073425633019,0.60945900465189,3.11948881710192,TRUE,"SIM"
"Risk_Score",1.00478583975128,0.583393735299539,1.72231167212548,0.10702088024149,"HIC","Diseases",4,16,-0.00328797716216402,0.295002627214364,-0.560863667589023,0.556185166536711,3.41716894670543,TRUE,"SIM"
"Risk_Score",1.21181365910552,0.585811377574456,2.0686072437224,0.0575747710392515,"HIC","Diseases",5,16,-0.00191679852132832,0.207118731537202,-0.403609438121648,0.400680570108955,5.86007092945546,TRUE,"SIM"
"Risk_Score",-0.0698121530668685,0.273466939843524,-0.255285531431385,0.803212874980818,"HIC","Food",-5,13,0.357097507020977,0.609778090217508,-0.763743264208081,1.38146046146809,-0.700106591129844,FALSE,"NONE"
"Risk_Score",-0.517409466495551,0.33591547132307,-1.54029662420022,0.154511408866451,"HIC","Food",-4,12,-0.0243167313677796,0.743838979853168,-1.28061718191564,1.30547630938628,-0.662902521221874,FALSE,"NONE"
"Risk_Score",-0.624920805218365,0.436669700716609,-1.43110640420625,0.186192306076119,"HIC","Food",-3,11,-0.0161352196743222,0.713089935460737,-1.24746477229341,1.28858732164696,-0.853729039312129,FALSE,"NONE"
"Risk_Score",-0.309216851858587,0.61097274314983,-0.506105804760519,0.626431366326952,"HIC","Food",-2,10,-0.0205666287718952,0.705379117513147,-1.29818831756443,1.2621422193272,-0.409212884135759,FALSE,"NONE"
"Risk_Score",0.0234854614977792,0.804845459283037,0.0291800882105991,0.977535474370945,"HIC","Food",-1,9,-0.0236158871497673,0.64189604416199,-1.25327921297409,1.22998266510104,0.0733784684855604,FALSE,"NONE"
"Risk_Score",-0.872624935912912,0.788495631246529,-1.10669596803394,0.310811169879651,"HIC","Food",1,8,0.0105735592712275,0.741919599349458,-1.36225542790483,1.53770184369096,-1.19042345822723,FALSE,"NONE"
"Risk_Score",-0.586275113266142,0.53210759837344,-1.10179804809832,0.312773270031893,"HIC","Food",2,8,-0.00594084307811559,0.837986761075221,-1.3736089126907,1.71222457179167,-0.692533936268158,FALSE,"NONE"
"Risk_Score",-0.365700302352565,0.423174555717355,-0.864183106974943,0.420687653661797,"HIC","Food",3,8,0.00396017429404768,0.712176126978992,-1.19272817404147,1.45778548890542,-0.519057663747716,FALSE,"NONE"
"Risk_Score",-0.310169242252093,0.319322973410327,-0.971333941117756,0.368894746669849,"HIC","Food",4,8,0.000993861640316833,0.655495527063677,-1.10202180345692,1.30279323948591,-0.474699049871904,FALSE,"NONE"
"Risk_Score",-0.0744184346502404,0.270549245010413,-0.275064285052343,0.792493481325796,"HIC","Food",5,8,0.00834409786952201,0.534669080099576,-0.891077302351156,1.09473073469082,-0.154792067841942,FALSE,"NONE"
"Risk_Score",0.583175272997511,0.314514616100551,1.85420722326961,0.0848943071481546,"HIC","Economic",-5,16,0.351455050435616,0.107461161582703,0.131906878611067,0.545512594490396,2.15631600430414,TRUE,"SIM"
"Risk_Score",0.606667558378896,0.348886060125526,1.73887015766873,0.103988506208853,"HIC","Economic",-4,16,0.00540158207714306,0.208259722293303,-0.393650269247416,0.395845868905862,2.88709679279683,TRUE,"SIM"
"Risk_Score",0.714381711606887,0.37789419051118,1.89042787516934,0.0795813744912187,"HIC","Economic",-3,16,0.00893480286349112,0.25418594786022,-0.468655504832335,0.491020480462926,2.77531828443692,TRUE,"SIM"
"Risk_Score",0.997291718711599,0.37693431345997,2.64579711397782,0.019185905937359,"HIC","Economic",-2,16,0.00366816279906062,0.431476046360488,-0.823206885652494,0.794961604943673,2.30284754922963,TRUE,"BOTH"
"Risk_Score",1.01609975695954,0.416383398443244,2.44029843831067,0.0297502285771736,"HIC","Economic",-1,15,0.00238668440506103,0.396172982813027,-0.785733988660263,0.732310088260904,2.55876376363832,TRUE,"BOTH"
"Risk_Score",0.345012097481512,0.503455852271119,0.685287688930703,0.506185030166948,"HIC","Economic",1,14,-0.0152292579438919,0.395989681814206,-0.769353265355782,0.72942779631062,0.909724096281948,FALSE,"NONE"
"Risk_Score",-0.034371511524862,0.488553195931624,-0.0703536724579579,0.945071026503776,"HIC","Economic",2,14,-0.0222974129902967,0.426979042096182,-0.8457535477717,0.784632183278553,-0.0282779652961173,FALSE,"NONE"
"Risk_Score",-0.107761543040745,0.461855618161287,-0.23332301005617,0.819443196463044,"HIC","Economic",3,14,-0.013606110212393,0.2474894663297,-0.505467711622549,0.463479988260528,-0.38044218295303,FALSE,"NONE"
"Risk_Score",-0.34950278952954,0.421155481767704,-0.829866414328936,0.422816622823728,"HIC","Economic",4,14,-0.0123924811759396,0.202375825563895,-0.390475902258749,0.369813207687338,-1.66576372160205,FALSE,"NONE"
"Risk_Score",-0.360637233191196,0.380404658005322,-0.948035797148811,0.361812864251004,"HIC","Economic",5,14,-0.00740185713654473,0.134435166972529,-0.264407024678399,0.258341466192369,-2.62755188251325,TRUE,"SIM"
"Risk_Score",0.116157884021895,0.166576624195759,0.697324036807156,0.497017637374385,"HIC","Tech",-5,16,0.194970183745807,0.0820322422078632,0.0346828700137006,0.347955037393862,-0.960747842588621,FALSE,"NONE"
"Risk_Score",-0.162126005188488,0.247763200439009,-0.65435869774534,0.523485641280972,"HIC","Tech",-4,16,0.000795201493055407,0.102745268973367,-0.199092112932564,0.199865094239917,-1.58568086209181,FALSE,"NONE"
"Risk_Score",-0.187868229386408,0.303733745998068,-0.618529326628075,0.546158951286004,"HIC","Tech",-3,16,0.0018296164914821,0.126644018294124,-0.244061317151557,0.25115743206706,-1.49788239849849,FALSE,"NONE"
"Risk_Score",-0.23059879954442,0.356973155757032,-0.645983586792093,0.528737187260932,"HIC","Tech",-2,16,0.000773076386407855,0.17548703071646,-0.335516192465131,0.335888191145339,-1.31845570003782,FALSE,"NONE"
"Risk_Score",-0.322785206918442,0.376045210485809,-0.858368084256249,0.405145904096002,"HIC","Tech",-1,16,0.000854434663593512,0.337829747360856,-0.667332193153851,0.655034769271313,-0.957996280997531,FALSE,"NONE"
"Risk_Score",-0.288129799943132,0.385419222420741,-0.747575064194896,0.467088450749147,"HIC","Tech",1,16,-0.0185806651685723,0.330172599480356,-0.644532106288627,0.632000437912638,-0.816388565249786,FALSE,"NONE"
