"Risk_Type","Region","rank","metric","metric_label"
"Climate","HIC",4,"diff_future_corrpast","Anticipatory skill"
"Climate","UMC",2,"diff_future_corrpast","Anticipatory skill"
"Climate","LMC",1,"diff_future_corrpast","Anticipatory skill"
"Climate","LIC",3,"diff_future_corrpast","Anticipatory skill"
"Diseases","HIC",4,"diff_future_corrpast","Anticipatory skill"
"Diseases","UMC",2,"diff_future_corrpast","Anticipatory skill"
"Diseases","LMC",1,"diff_future_corrpast","Anticipatory skill"
"Diseases","LIC",3,"diff_future_corrpast","Anticipatory skill"
"GeoConflict","HIC",4,"diff_future_corrpast","Anticipatory skill"
"GeoConflict","UMC",2,"diff_future_corrpast","Anticipatory skill"
"GeoConflict","LMC",3,"diff_future_corrpast","Anticipatory skill"
"GeoConflict","LIC",1,"diff_future_corrpast","Anticipatory skill"
"Terror","HIC",4,"diff_future_corrpast","Anticipatory skill"
"Terror","UMC",1,"diff_future_corrpast","Anticipatory skill"
"Terror","LMC",2,"diff_future_corrpast","Anticipatory skill"
"Terror","LIC",3,"diff_future_corrpast","Anticipatory skill"
"Climate","HIC",4,"max_future","Predictive capacity"
"Climate","UMC",3,"max_future","Predictive capacity"
"Climate","LMC",1,"max_future","Predictive capacity"
"Climate","LIC",2,"max_future","Predictive capacity"
"Diseases","HIC",4,"max_future","Predictive capacity"
"Diseases","UMC",3,"max_future","Predictive capacity"
"Diseases","LMC",1,"max_future","Predictive capacity"
"Diseases","LIC",2,"max_future","Predictive capacity"
"GeoConflict","HIC",4,"max_future","Predictive capacity"
"GeoConflict","UMC",1,"max_future","Predictive capacity"
"GeoConflict","LMC",2,"max_future","Predictive capacity"
"GeoConflict","LIC",3,"max_future","Predictive capacity"
"Terror","HIC",4,"max_future","Predictive capacity"
"Terror","UMC",1,"max_future","Predictive capacity"
"Terror","LMC",2,"max_future","Predictive capacity"
"Terror","LIC",3,"max_future","Predictive capacity"
