"Region","Risk_Type","Year","Shock_Value"
"HIC","Geophysical",2001,1.96472386358487
"HIC","Geophysical",2002,2.45590482948109
"HIC","Geophysical",2003,4.42062869306596
"HIC","Geophysical",2004,1.96472386358487
"HIC","Geophysical",2005,1.47354289768865
"HIC","Geophysical",2006,0.982361931792435
"HIC","Geophysical",2007,3.43826676127352
"HIC","Geophysical",2008,2.45590482948109
"HIC","Geophysical",2009,0.982361931792435
"HIC","Geophysical",2010,2.45590482948109
"HIC","Geophysical",2011,2.94708579537731
"HIC","Geophysical",2012,1.47354289768865
"HIC","Geophysical",2013,2.45590482948109
"HIC","Geophysical",2014,2.94708579537731
"HIC","Geophysical",2015,1.47354289768865
"HIC","Geophysical",2016,4.91180965896218
"HIC","Geophysical",2017,2.94708579537731
"HIC","Geophysical",2018,2.45590482948109
"HIC","Geophysical",2019,2.45590482948109
"HIC","Geophysical",2020,2.45590482948109
"HIC","Geophysical",2021,1.96472386358487
"HIC","Geophysical",2022,1.47354289768865
"HIC","Geophysical",2023,1.47354289768865
"HIC","Geophysical",2024,0.982361931792435
"HIC","Climate",2001,4.6677273428596
"HIC","Climate",2002,6.08834001242557
"HIC","Climate",2003,4.92140817671067
"HIC","Climate",2004,5.12435284379152
"HIC","Climate",2005,5.88539534534472
"HIC","Climate",2006,5.0228805102511
"HIC","Climate",2007,4.61699117608939
"HIC","Climate",2008,3.75447634099577
"HIC","Climate",2009,3.70374017422556
"HIC","Climate",2010,4.61699117608939
"HIC","Climate",2011,3.14564233975321
"HIC","Climate",2012,4.51551884254896
"HIC","Climate",2013,4.71846350962982
"HIC","Climate",2014,3.95742100807662
"HIC","Climate",2015,4.51551884254896
"HIC","Climate",2016,3.5007955071447
"HIC","Climate",2017,4.6677273428596
"HIC","Climate",2018,4.51551884254896
"HIC","Climate",2019,4.71846350962982
"HIC","Climate",2020,4.2618380086979
"HIC","Climate",2021,5.98686767888514
"HIC","Climate",2022,6.08834001242557
"HIC","Climate",2023,5.27656134410216
"HIC","Climate",2024,1.67429350341703
"HIC","Diseases",2001,0.401052546060814
"HIC","Diseases",2002,0.145837289476659
"HIC","Diseases",2003,1.53129153950492
"HIC","Diseases",2004,1.09377967107495
"HIC","Diseases",2005,0.0364593223691649
"HIC","Diseases",2006,0.328133901322484
"HIC","Diseases",2007,0.0729186447383297
"HIC","Diseases",2008,0.0364593223691649
"HIC","Diseases",2009,2.58861188821071
"HIC","Diseases",2010,0.364593223691649
"HIC","Diseases",2011,0.729186447383297
"HIC","Diseases",2012,0.145837289476659
"HIC","Diseases",2013,0.401052546060814
"HIC","Diseases",2014,0.510430513168308
"HIC","Diseases",2015,0.729186447383297
"HIC","Diseases",2016,0.729186447383297
"HIC","Diseases",2017,0.947942381598287
"HIC","Diseases",2018,0.364593223691649
"HIC","Diseases",2019,0.802105092121627
"HIC","Diseases",2020,2.91674578953319
"HIC","Diseases",2021,2.98966443427152
"HIC","Diseases",2022,2.98966443427152
"HIC","Food",2001,1.83656553734763
"HIC","Food",2002,0.918282768673813
"HIC","Food",2003,1.37742415301072
"HIC","Food",2004,0
"HIC","Food",2005,0.918282768673813
"HIC","Food",2006,1.37742415301072
"HIC","Food",2007,3.67313107469525
"HIC","Food",2008,0.459141384336906
"HIC","Food",2009,0
"HIC","Food",2010,0.459141384336906
"HIC","Food",2011,0.459141384336906
"HIC","Food",2012,0
"HIC","Food",2013,0.918282768673813
"HIC","Economic",2001,0.795986225781839
"HIC","Economic",2002,0.928650596745479
"HIC","Economic",2003,0.795986225781839
"HIC","Economic",2004,0.53065748385456
"HIC","Economic",2005,0.53065748385456
"HIC","Economic",2006,0.39799311289092
"HIC","Economic",2007,0.795986225781839
"HIC","Economic",2008,3.58193801601828
"HIC","Economic",2009,3.05128053216372
"HIC","Economic",2010,2.12262993541824
"HIC","Economic",2011,2.38795867734552
"HIC","Economic",2012,2.12262993541824
"HIC","Economic",2013,0.928650596745479
"HIC","Economic",2014,0.39799311289092
"HIC","Economic",2015,0.53065748385456
"HIC","Economic",2016,0.39799311289092
"HIC","Economic",2017,0.26532874192728
"HIC","Economic",2018,0.53065748385456
"HIC","Economic",2019,0.39799311289092
"HIC","GeoConflict",2001,0.732854557668037
"HIC","GeoConflict",2002,1.09928183650206
"HIC","GeoConflict",2003,1.89320760730909
"HIC","GeoConflict",2004,2.56499095183813
"HIC","GeoConflict",2005,2.93141823067215
"HIC","GeoConflict",2006,2.80927580439414
"HIC","GeoConflict",2007,2.68713337811613
"HIC","GeoConflict",2008,2.62606216497713
"HIC","GeoConflict",2009,2.56499095183813
"HIC","GeoConflict",2010,2.44284852556012
"HIC","GeoConflict",2011,2.13749245986511
"HIC","GeoConflict",2012,2.13749245986511
"HIC","GeoConflict",2013,2.56499095183813
"HIC","GeoConflict",2014,3.35891672264517
"HIC","GeoConflict",2015,3.66427278834018
"HIC","GeoConflict",2016,2.44284852556012
"HIC","GeoConflict",2017,3.84748642775719
"HIC","GeoConflict",2018,4.21391370659121
"HIC","GeoConflict",2019,4.27498491973021
"HIC","GeoConflict",2020,4.21391370659121
"HIC","GeoConflict",2021,4.33605613286922
"HIC","GeoConflict",2022,4.09177128031321
"HIC","GeoConflict",2023,3.60320157520118
"HIC","Terror",2001,2.14963909982043
"HIC","Terror",2002,1.29544040489179
"HIC","Terror",2003,1.19361539490029
"HIC","Terror",2004,0.605293114949437
"HIC","Terror",2005,0.916425089923447
"HIC","Terror",2006,1.0917903849088
"HIC","Terror",2007,0.825913969931007
"HIC","Terror",2008,1.90073351984122
"HIC","Terror",2009,1.41989319488139
"HIC","Terror",2010,1.01825009991494
"HIC","Terror",2011,0.944709814921084
"HIC","Terror",2012,1.75365294985351
"HIC","Terror",2013,2.21186549481523
"HIC","Terror",2014,3.59781701969946
"HIC","Terror",2015,3.37719616471789
"HIC","Terror",2016,3.25274337472828
"HIC","Terror",2017,2.93595445475475
"HIC","Terror",2018,2.95858223475285
"HIC","Terror",2019,2.370259954802
"HIC","Terror",2020,3.43376561471316
"HIC","Tech",2001,4.49557469623285
"HIC","Tech",2002,4.26503240411834
"HIC","Tech",2003,4.03449011200384
"HIC","Tech",2004,3.11232094354582
"HIC","Tech",2005,3.34286323566032
"HIC","Tech",2006,2.88177865143131
"HIC","Tech",2007,3.34286323566032
"HIC","Tech",2008,3.57340552777483
"HIC","Tech",2009,2.65123635931681
"HIC","Tech",2010,2.76650750537406
"HIC","Tech",2011,2.4206940672023
"HIC","Tech",2012,2.65123635931681
"HIC","Tech",2013,2.76650750537406
"HIC","Tech",2014,3.11232094354582
"HIC","Tech",2015,3.80394781988933
"HIC","Tech",2016,2.4206940672023
"HIC","Tech",2017,2.07488062903054
"HIC","Tech",2018,1.95960948297329
"HIC","Tech",2019,1.61379604480153
"HIC","Tech",2020,0.806898022400767
"HIC","Tech",2021,1.95960948297329
"HIC","Tech",2022,1.61379604480153
"HIC","Tech",2023,2.1901517750878
"HIC","Tech",2024,0.576355730286262
"UMC","Geophysical",2001,2.84394862144101
"UMC","Geophysical",2002,3.79193149525467
"UMC","Geophysical",2003,5.49830066811928
"UMC","Geophysical",2004,5.30870409335654
"UMC","Geophysical",2005,3.03354519620374
"UMC","Geophysical",2006,4.36072121954288
"UMC","Geophysical",2007,2.46475547191554
"UMC","Geophysical",2008,3.79193149525467
"UMC","Geophysical",2009,2.84394862144101
"UMC","Geophysical",2010,3.79193149525467
"UMC","Geophysical",2011,3.60233492049194
"UMC","Geophysical",2012,3.60233492049194
"UMC","Geophysical",2013,3.98152807001741
"UMC","Geophysical",2014,3.79193149525467
"UMC","Geophysical",2015,2.2751588971528
"UMC","Geophysical",2016,2.08556232239007
"UMC","Geophysical",2017,2.65435204667827
"UMC","Geophysical",2018,2.84394862144101
"UMC","Geophysical",2019,3.41273834572921
"UMC","Geophysical",2020,2.2751588971528
"UMC","Geophysical",2021,4.17112464478014
"UMC","Geophysical",2022,4.55031779430561
"UMC","Geophysical",2023,3.22314177096647
"UMC","Geophysical",2024,1.32717602333914
"UMC","Climate",2001,7.41303532310095
"UMC","Climate",2002,7.10415885130508
"UMC","Climate",2003,5.37445060924819
"UMC","Climate",2004,6.67173179079085
"UMC","Climate",2005,7.22770944002342
"UMC","Climate",2006,5.68332708104406
"UMC","Climate",2007,6.67173179079085
"UMC","Climate",2008,5.93042825848076
"UMC","Climate",2009,6.05397884719911
"UMC","Climate",2010,6.67173179079085
"UMC","Climate",2011,5.31267531488901
"UMC","Climate",2012,6.17752943591746
"UMC","Climate",2013,5.99220355283993
"UMC","Climate",2014,6.48640590771333
"UMC","Climate",2015,7.0423835569459
"UMC","Climate",2016,5.99220355283993
"UMC","Climate",2017,6.11575414155828
"UMC","Climate",2018,4.69492237129727
"UMC","Climate",2019,6.36285531899498
"UMC","Climate",2020,7.10415885130508
"UMC","Climate",2021,8.40144003284774
"UMC","Climate",2022,7.66013650053765
"UMC","Climate",2023,7.22770944002342
"UMC","Climate",2024,3.76829295590965
"UMC","Diseases",2001,0.276362552707367
"UMC","Diseases",2002,0.16581753162442
"UMC","Diseases",2003,0.718542637039154
"UMC","Diseases",2004,0.66327012649768
"UMC","Diseases",2005,0.442180084331787
"UMC","Diseases",2006,0.607997615956207
"UMC","Diseases",2007,0.221090042165893
"UMC","Diseases",2008,0.49745259487326
"UMC","Diseases",2009,2.87417054815661
"UMC","Diseases",2010,1.10545021082947
"UMC","Diseases",2011,0.49745259487326
"UMC","Diseases",2012,0.110545021082947
"UMC","Diseases",2013,0.16581753162442
"UMC","Diseases",2014,0.49745259487326
"UMC","Diseases",2015,1.10545021082947
"UMC","Diseases",2016,0.939632679205047
"UMC","Diseases",2017,0.221090042165893
"UMC","Diseases",2018,0.33163506324884
"UMC","Diseases",2019,1.27126774245389
"UMC","Diseases",2020,2.98471556923956
"UMC","Diseases",2021,3.03998807978103
"UMC","Diseases",2022,2.87417054815661
"UMC","Food",2001,0.963624111659432
"UMC","Food",2002,0.481812055829716
"UMC","Food",2003,3.37268439080801
"UMC","Food",2004,0.963624111659432
"UMC","Food",2005,1.92724822331886
"UMC","Food",2006,1.92724822331886
"UMC","Food",2007,0.963624111659432
"UMC","Food",2008,1.44543616748915
"UMC","Food",2009,2.89087233497829
"UMC","Food",2010,1.44543616748915
"UMC","Food",2011,0
"UMC","Food",2012,0
"UMC","Food",2013,1.44543616748915
"UMC","Economic",2001,4.26126051627437
"UMC","Economic",2002,4.26126051627437
"UMC","Economic",2003,2.95010343434379
"UMC","Economic",2004,2.62231416386115
"UMC","Economic",2005,2.13063025813718
"UMC","Economic",2006,1.96673562289586
"UMC","Economic",2007,1.63894635241322
"UMC","Economic",2008,2.45841952861983
"UMC","Economic",2009,1.63894635241322
"UMC","Economic",2010,1.14726244668925
